sigma_y,tarp_area,M,K,N
2026-03-05 09:26:32,0.1,0.19455555555555556,300,200,8
2026-03-05 09:26:46,0.2,0.18688888888888885,300,200,8
2026-03-05 09:26:57,0.3,0.18000000000000002,300,200,8
2026-03-05 09:27:11,0.4,0.17488888888888887,300,200,8
2026-03-06 18:50:55,0.1,0.1908888888888889,300,200,8
2026-03-06 18:51:03,0.2,0.17066666666666672,300,200,8
2026-03-06 18:51:10,0.3,0.16899999999999998,300,200,8
2026-03-06 18:51:16,0.4,0.16511111111111113,300,200,8
